year,month,week,weekly_max_temp
2022,5,21,37.1
2022,5,22,34.4
2022,6,22,36.4
2022,6,23,35.6
2022,6,24,37.0
2022,6,25,36.3
2022,6,26,36.7
2022,7,26,37.2
2022,7,27,37.6
2022,7,28,38.0
2022,7,29,36.5
2022,7,30,34.9
2022,8,31,33.9
2022,8,32,36.7
2022,8,33,36.9
2022,8,34,36.3
2022,8,35,33.6
2022,9,35,33.0
2022,9,36,34.9
2022,9,37,36.1
2022,9,38,37.6
2022,9,39,35.9
2022,10,39,35.3
2022,10,40,36.8
2022,10,41,33.0
2022,10,42,33.6
2022,10,43,32.6
2022,10,44,30.7
2022,11,44,33.1
2022,11,45,31.2
2022,11,46,30.8
2022,11,47,32.8
2022,11,48,32.3
2022,12,48,32.6
2022,12,49,30.8
2022,12,50,31.6
2022,12,51,30.3
2022,12,52,31.7
2023,1,1,31.6
2023,1,2,31.9
2023,1,3,32.4
2023,1,4,31.4
2023,1,5,31.6
2023,1,52,30.6
2023,2,5,31.3
2023,2,6,32.0
2023,2,7,34.1
2023,2,8,32.5
2023,2,9,32.2
2023,3,9,33.9
2023,3,10,33.8
2023,3,11,35.0
2023,3,12,34.2
2023,3,13,35.4
2023,4,13,35.5
2023,4,14,35.4
2023,4,15,36.6
2023,4,16,36.8
2023,4,17,34.3
2023,5,18,32.9
2023,5,19,35.1
2023,5,20,36.4
2023,5,21,37.0
2023,5,22,36.6
2023,6,22,36.9
2023,6,23,37.7
2023,6,24,37.9
2023,6,25,37.6
2023,6,26,36.3
2023,7,26,36.0
2023,7,27,36.8
2023,7,28,37.1
2023,7,29,39.1
2023,7,30,39.3
2023,7,31,38.8
2023,8,31,39.5
2023,8,32,38.4
2023,8,33,39.3
2023,8,34,39.4
2023,8,35,37.6
2023,9,35,35.6
2023,9,36,36.9
2023,9,37,37.0
2023,9,38,35.5
2023,9,39,35.6
2023,10,39,33.7
2023,10,40,35.2
2023,10,41,33.5
2023,10,42,33.1
2023,10,43,33.1
2023,10,44,32.9
2023,11,44,31.6
2023,11,45,31.2
2023,11,46,32.0
2023,11,47,32.2
2023,11,48,31.4
2023,12,48,31.8
2023,12,49,32.4
2023,12,50,31.5
2023,12,51,31.9
2023,12,52,32.1
2024,1,1,31.7
2024,1,2,31.6
2024,1,3,32.6
2024,1,4,33.2
2024,1,5,32.7
2024,2,5,33.7
2024,2,6,34.7
2024,2,7,35.6
2024,2,8,37.3
2024,2,9,37.3
2024,3,9,35.9
2024,3,10,38.3
2024,3,11,38.1
2024,3,12,37.0
2024,3,13,37.2
2024,4,14,39.4
2024,4,15,38.9
2024,4,16,39.0
2024,4,17,39.4
2024,4,18,38.4
2024,5,18,40.3
2024,5,19,40.2
2024,5,20,33.7
2024,5,21,34.2
2024,5,22,36.3
2024,6,22,36.4
2024,6,23,34.7
