Batticaloa,2016,10	121.0,28.62
Batticaloa,2016,11	336.0,26.19
Batticaloa,2016,12	251.0,25.74
Batticaloa,2016,2	186.0,26.71
Batticaloa,2016,3	139.0,27.59
Batticaloa,2016,4	65.0,29.37
Batticaloa,2016,5	192.0,28.8
Batticaloa,2016,6	25.0,29.87
Batticaloa,2016,7	63.0,29.51
Batticaloa,2016,8	29.0,29.67
Batticaloa,2016,9	27.0,29.6
Batticaloa,2017,1	306.0,25.0
Batticaloa,2017,10	226.0,27.59
Batticaloa,2017,11	393.0,25.99
Batticaloa,2017,12	308.0,25.74
Batticaloa,2017,2	219.0,25.5
Batticaloa,2017,3	195.0,26.82
Batticaloa,2017,4	59.0,28.94
Batticaloa,2017,5	85.0,29.52
Batticaloa,2017,6	69.0,30.43
Batticaloa,2017,7	54.0,30.2
Batticaloa,2017,8	88.0,29.48
Batticaloa,2017,9	143.0,28.2
Batticaloa,2018,1	174.0,25.11
Batticaloa,2018,10	401.0,26.41
Batticaloa,2018,11	462.0,26.01
Batticaloa,2018,12	375.0,25.53
Batticaloa,2018,2	243.0,25.61
Batticaloa,2018,3	257.0,26.72
Batticaloa,2018,4	199.0,27.52
Batticaloa,2018,5	163.0,27.73
Batticaloa,2018,6	75.0,29.28
Batticaloa,2018,7	70.0,29.81
Batticaloa,2018,8	63.0,29.77
Batticaloa,2018,9	132.0,28.81
Batticaloa,2019,1	274.0,25.53
Batticaloa,2019,10	419.0,26.24
Batticaloa,2019,11	432.0,26.5
Batticaloa,2019,12	512.0,25.96
Batticaloa,2019,2	372.0,26.41
Batticaloa,2019,3	124.0,27.7
Batticaloa,2019,4	116.0,28.87
Batticaloa,2019,5	67.0,30.02
Batticaloa,2019,6	63.0,30.5
Batticaloa,2019,7	77.0,29.79
Batticaloa,2019,8	103.0,29.52
Batticaloa,2019,9	223.0,27.83
Batticaloa,2020,1	308.0,26.28
Batticaloa,2020,10	120.0,28.51
Batticaloa,2020,11	454.0,26.47
Batticaloa,2020,12	466.0,25.61
Batticaloa,2020,2	219.0,26.73
Batticaloa,2020,3	87.0,27.77
Batticaloa,2020,4	194.0,28.82
Batticaloa,2020,5	156.0,29.1
Batticaloa,2020,6	105.0,29.79
Batticaloa,2020,7	128.0,28.76
Batticaloa,2020,8	70.0,29.73
Batticaloa,2020,9	135.0,28.06
Batticaloa,2021,1	458.0,25.57
Batticaloa,2021,10	226.0,27.16
Batticaloa,2021,11	343.0,25.87
Batticaloa,2021,12	325.0,25.93
Batticaloa,2021,2	264.0,25.84
Batticaloa,2021,3	247.0,26.99
Batticaloa,2021,4	188.0,28.15
Batticaloa,2021,5	229.0,28.64
Batticaloa,2021,6	100.0,29.37
Batticaloa,2021,7	88.0,29.46
Batticaloa,2021,8	126.0,28.94
Batticaloa,2021,9	149.0,28.72
Batticaloa,2022,1	338.0,25.35
Batticaloa,2022,10	242.0,26.65
Batticaloa,2022,11	278.0,25.62
Batticaloa,2022,12	355.0,25.19
Batticaloa,2022,2	226.0,25.74
Batticaloa,2022,3	155.0,27.02
Batticaloa,2022,4	193.0,27.19
Batticaloa,2022,5	111.0,29.13
Batticaloa,2022,6	98.0,28.7
Batticaloa,2022,7	124.0,28.74
Batticaloa,2022,8	131.0,27.95
Batticaloa,2022,9	116.0,27.89
Batticaloa,2023,1	284.0,25.09
Batticaloa,2023,10	313.0,26.33
Batticaloa,2023,11	420.0,25.93
Batticaloa,2023,12	493.0,26.08
Batticaloa,2023,2	267.0,25.55
Batticaloa,2023,3	232.0,26.72
Batticaloa,2023,4	139.0,28.2
Batticaloa,2023,5	121.0,28.35
Batticaloa,2023,6	81.0,29.86
Batticaloa,2023,7	85.0,29.91
Batticaloa,2023,8	75.0,29.55
Batticaloa,2023,9	172.0,27.63
Batticaloa,2024,1	337.0,26.13
Batticaloa,2024,2	172.0,27.28
Batticaloa,2024,3	127.0,27.67
Batticaloa,2024,4	122.0,28.92
Batticaloa,2024,5	184.0,29.1
Batticaloa,2024,6	33.0,28.43
Colombo,2014,1	74.0,26.67
Colombo,2014,10	461.0,25.94
Colombo,2014,11	347.0,25.71
Colombo,2014,12	340.0,25.3
Colombo,2014,2	49.0,27.9
Colombo,2014,3	94.0,28.34
Colombo,2014,4	278.0,27.3
Colombo,2014,5	398.0,27.12
Colombo,2014,6	418.0,27.21
Colombo,2014,7	426.0,26.84
Colombo,2014,8	476.0,26.2
Colombo,2014,9	468.0,26.15
Colombo,2015,1	71.0,26.59
Colombo,2015,10	468.0,26.17
Colombo,2015,11	405.0,26.03
Colombo,2015,12	283.0,26.26
Colombo,2015,2	100.0,26.92
Colombo,2015,3	146.0,27.66
Colombo,2015,4	271.0,27.12
Colombo,2015,5	488.0,27.15
Colombo,2015,6	439.0,26.98
Colombo,2015,7	410.0,26.84
Colombo,2015,8	415.0,26.72
Colombo,2015,9	513.0,26.23
Colombo,2016,1	68.0,27.27
Colombo,2016,10	335.0,26.64
Colombo,2016,11	326.0,25.93
Colombo,2016,12	119.0,26.18
Colombo,2016,2	75.0,28.28
Colombo,2016,3	120.0,29.09
Colombo,2016,4	192.0,29.04
Colombo,2016,5	498.0,27.25
Colombo,2016,6	417.0,26.97
Colombo,2016,7	390.0,26.64
Colombo,2016,8	420.0,26.73
Colombo,2016,9	428.0,26.43
Colombo,2017,1	113.0,25.59
Colombo,2017,10	537.0,26.36
Colombo,2017,11	352.0,25.68
Colombo,2017,12	148.0,25.78
Colombo,2017,2	51.0,26.0
Colombo,2017,3	199.0,26.74
Colombo,2017,4	320.0,28.05
Colombo,2017,5	493.0,27.66
Colombo,2017,6	557.0,26.93
Colombo,2017,7	513.0,27.32
Colombo,2017,8	540.0,26.82
Colombo,2017,9	492.0,26.45
Colombo,2018,1	47.0,25.92
Colombo,2018,10	438.0,25.76
Colombo,2018,11	364.0,25.76
Colombo,2018,12	143.0,25.73
Colombo,2018,2	84.0,26.81
Colombo,2018,3	224.0,26.85
Colombo,2018,4	241.0,27.06
Colombo,2018,5	518.0,26.67
Colombo,2018,6	591.0,26.79
Colombo,2018,7	428.0,26.62
Colombo,2018,8	339.0,26.25
Colombo,2018,9	304.0,26.74
Colombo,2019,1	82.0,26.53
Colombo,2019,10	462.0,25.6
Colombo,2019,11	382.0,25.96
Colombo,2019,12	234.0,25.89
Colombo,2019,2	194.0,26.84
Colombo,2019,3	157.0,27.75
Colombo,2019,4	241.0,28.16
Colombo,2019,5	477.0,27.99
Colombo,2019,6	551.0,27.79
Colombo,2019,7	404.0,27.3
Colombo,2019,8	608.0,26.6
Colombo,2019,9	559.0,26.22
Colombo,2020,1	85.0,26.63
Colombo,2020,10	429.0,26.85
Colombo,2020,11	297.0,26.23
Colombo,2020,12	255.0,25.68
Colombo,2020,2	77.0,27.67
Colombo,2020,3	138.0,27.99
Colombo,2020,4	275.0,27.86
Colombo,2020,5	527.0,27.76
Colombo,2020,6	480.0,27.48
Colombo,2020,7	502.0,26.89
Colombo,2020,8	437.0,26.86
Colombo,2020,9	596.0,26.22
Colombo,2021,1	226.0,25.43
Colombo,2021,10	498.0,26.32
Colombo,2021,11	505.0,25.49
Colombo,2021,12	153.0,25.75
Colombo,2021,2	73.0,26.4
Colombo,2021,3	203.0,26.51
